column1,camis,violation_code,violation_description,action,score,inspection_type,grade,grade_date,inspection_date,critical_flag,record_date
12224,50108809,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,13,Cycle Inspection / Initial Inspection,A,2021-11-19 00:00:00.0000000,2021-11-19 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12225,50084309,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,11,Cycle Inspection / Initial Inspection,A,2021-08-24 00:00:00.0000000,2021-08-24 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12226,50044676,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,8,Cycle Inspection / Re-inspection,A,2019-10-01 00:00:00.0000000,2019-10-01 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12227,50084991,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,44,Cycle Inspection / Initial Inspection,NULL,NULL,2021-08-11 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12228,41160209,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,5,Cycle Inspection / Re-inspection,A,2019-07-01 00:00:00.0000000,2019-07-01 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12229,50119940,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,12,Pre-permit (Operational) / Initial Inspection,A,2022-06-06 00:00:00.0000000,2022-06-06 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12230,50044784,NULL,NULL,No violations were recorded at the time of this inspection.,0,Cycle Inspection / Initial Inspection,A,2018-05-29 00:00:00.0000000,2018-05-29 00:00:00.0000000,Not Applicable,2022-08-27 06:00:12.0000000
12231,50048985,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,14,Cycle Inspection / Initial Inspection,NULL,NULL,2019-11-08 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12232,50076821,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Violations were cited in the following area(s).,13,Cycle Inspection / Initial Inspection,A,2019-09-10 00:00:00.0000000,2019-09-10 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12233,50081104,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Violations were cited in the following area(s).,28,Cycle Inspection / Initial Inspection,NULL,NULL,2019-12-19 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12234,50033574,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,52,Cycle Inspection / Re-inspection,NULL,NULL,2018-03-06 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12235,50067743,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,13,Pre-permit (Operational) / Initial Inspection,A,2017-10-23 00:00:00.0000000,2017-10-23 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12236,50106000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00.0000000,Not Applicable,2022-08-27 06:00:16.0000000
12237,40689434,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,18,Cycle Inspection / Initial Inspection,NULL,NULL,2020-02-25 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12238,50047049,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,19,Cycle Inspection / Initial Inspection,NULL,NULL,2019-07-22 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12239,40891377,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Violations were cited in the following area(s).,NULL,Administrative Miscellaneous / Initial Inspection,NULL,NULL,2019-05-14 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12240,50002803,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,8,Cycle Inspection / Initial Inspection,A,2020-01-27 00:00:00.0000000,2020-01-27 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12241,50083241,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2021-08-04 00:00:00.0000000,2021-08-04 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12242,50054979,04M,Live roaches present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,16,Cycle Inspection / Initial Inspection,NULL,NULL,2020-01-23 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
26042,50003531,04A,Food Protection Certificate not held by supervisor of food operations.,Violations were cited in the following area(s).,32,Cycle Inspection / Initial Inspection,NULL,NULL,2022-03-24 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12243,50109549,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,12,Pre-permit (Operational) / Initial Inspection,A,2022-04-28 00:00:00.0000000,2022-04-28 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12244,41338142,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,7,Cycle Inspection / Initial Inspection,A,2022-04-27 00:00:00.0000000,2022-04-27 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12245,50004698,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Violations were cited in the following area(s).,24,Cycle Inspection / Initial Inspection,NULL,NULL,2019-12-18 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12246,41504235,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,18,Cycle Inspection / Initial Inspection,NULL,NULL,2021-09-08 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12247,50091844,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,28,Cycle Inspection / Initial Inspection,NULL,NULL,2022-05-24 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12248,50078540,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2019-06-10 00:00:00.0000000,2019-06-10 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12249,41541736,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Violations were cited in the following area(s).,12,Cycle Inspection / Re-inspection,A,2019-06-19 00:00:00.0000000,2019-06-19 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12250,50068448,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,33,Pre-permit (Operational) / Initial Inspection,NULL,NULL,2017-09-21 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12251,50109092,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,11,Pre-permit (Operational) / Reopening Inspection,NULL,NULL,2021-12-17 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12252,50089754,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,9,Cycle Inspection / Initial Inspection,NULL,NULL,2021-09-07 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12253,50095962,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Violations were cited in the following area(s).,38,Cycle Inspection / Re-inspection,C,2020-01-28 00:00:00.0000000,2020-01-28 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12254,40868161,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 165º F or above within 2 hours.,Violations were cited in the following area(s).,10,Cycle Inspection / Initial Inspection,A,2020-01-30 00:00:00.0000000,2020-01-30 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12255,50047788,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,4,Cycle Inspection / Initial Inspection,A,2022-05-10 00:00:00.0000000,2022-05-10 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12256,50097986,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,20,Pre-permit (Operational) / Initial Inspection,NULL,NULL,2019-10-07 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12257,50018734,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,17,Cycle Inspection / Re-inspection,B,2019-07-18 00:00:00.0000000,2019-07-18 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12258,40544529,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,50,Cycle Inspection / Initial Inspection,NULL,NULL,2019-06-26 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12259,50115198,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Violations were cited in the following area(s).,35,Pre-permit (Operational) / Initial Inspection,NULL,NULL,2022-07-19 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12260,50107676,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1900-01-01 00:00:00.0000000,Not Applicable,2022-08-27 06:00:16.0000000
12261,50008039,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,60,Cycle Inspection / Initial Inspection,NULL,NULL,2022-06-07 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12262,41559193,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2019-08-09 00:00:00.0000000,2019-08-09 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12263,50104379,04A,Food Protection Certificate not held by supervisor of food operations.,Violations were cited in the following area(s).,12,Pre-permit (Operational) / Initial Inspection,A,2021-10-15 00:00:00.0000000,2021-10-15 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12264,41671540,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,12,Cycle Inspection / Re-inspection,A,2022-01-25 00:00:00.0000000,2022-01-25 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12265,50087091,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Violations were cited in the following area(s).,8,Pre-permit (Operational) / Initial Inspection,A,2019-03-12 00:00:00.0000000,2019-03-12 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12266,50051339,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,11,Cycle Inspection / Initial Inspection,A,2022-02-25 00:00:00.0000000,2022-02-25 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12267,40372262,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,23,Cycle Inspection / Initial Inspection,NULL,NULL,2017-09-20 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12268,50047108,10D,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Violations were cited in the following area(s).,30,Cycle Inspection / Initial Inspection,NULL,NULL,2019-11-15 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12269,50055119,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,17,Cycle Inspection / Initial Inspection,NULL,NULL,2021-08-02 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12270,50085705,20F,Current letter grade sign not posted.,Violations were cited in the following area(s).,NULL,Administrative Miscellaneous / Initial Inspection,NULL,NULL,2019-11-26 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12271,41231660,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,21,Cycle Inspection / Initial Inspection,NULL,NULL,2019-12-03 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12272,40585479,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,15,Cycle Inspection / Re-inspection,B,2019-08-28 00:00:00.0000000,2019-08-28 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12273,41717742,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Violations were cited in the following area(s).,21,Cycle Inspection / Re-inspection,B,2018-07-12 00:00:00.0000000,2018-07-12 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12274,50059023,09B,Thawing procedures improper.,Violations were cited in the following area(s).,20,Cycle Inspection / Initial Inspection,NULL,NULL,2018-02-10 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12275,50118007,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Violations were cited in the following area(s).,20,Pre-permit (Operational) / Re-inspection,B,2022-06-06 00:00:00.0000000,2022-06-06 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12276,50105493,06F,Wiping cloths soiled or not stored in sanitizing solution.,Violations were cited in the following area(s).,5,Pre-permit (Operational) / Initial Inspection,A,2021-11-10 00:00:00.0000000,2021-11-10 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12277,41716943,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,18,Cycle Inspection / Initial Inspection,NULL,NULL,2019-06-28 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12278,41480022,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Violations were cited in the following area(s).,21,Cycle Inspection / Initial Inspection,NULL,NULL,2022-04-12 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12279,41067696,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Violations were cited in the following area(s).,2,Cycle Inspection / Initial Inspection,A,2019-03-14 00:00:00.0000000,2019-03-14 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12280,40951896,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,35,Cycle Inspection / Re-inspection,C,2019-06-03 00:00:00.0000000,2019-06-03 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12281,41224979,15F7,Sign prohibiting smoking or using electronic cigarettes not conspicuously  posted,Violations were cited in the following area(s).,NULL,Smoke-Free Air Act / Initial Inspection,NULL,NULL,2020-01-17 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12282,41643314,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,10,Cycle Inspection / Initial Inspection,A,2022-08-11 00:00:00.0000000,2022-08-11 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12283,50049280,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,20,Cycle Inspection / Re-inspection,B,2019-11-22 00:00:00.0000000,2019-11-22 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12284,50077626,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,16,Pre-permit (Operational) / Re-inspection,B,2019-07-30 00:00:00.0000000,2019-07-30 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12285,50073062,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Violations were cited in the following area(s).,5,Cycle Inspection / Re-inspection,A,2019-07-25 00:00:00.0000000,2019-07-25 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12286,50104811,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Violations were cited in the following area(s).,12,Pre-permit (Operational) / Initial Inspection,A,2021-08-26 00:00:00.0000000,2021-08-26 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12287,41554670,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,8,Cycle Inspection / Initial Inspection,A,2020-03-13 00:00:00.0000000,2020-03-13 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12289,50074377,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,19,Cycle Inspection / Initial Inspection,NULL,NULL,2019-02-06 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12290,50093307,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Violations were cited in the following area(s).,12,Pre-permit (Operational) / Re-inspection,B,2019-11-21 00:00:00.0000000,2019-11-21 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12291,50036514,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,11,Cycle Inspection / Initial Inspection,A,2019-05-31 00:00:00.0000000,2019-05-31 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12292,50070734,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Violations were cited in the following area(s).,13,Pre-permit (Operational) / Initial Inspection,A,2017-11-28 00:00:00.0000000,2017-11-28 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12293,50046224,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,12,Cycle Inspection / Re-inspection,A,2018-12-05 00:00:00.0000000,2018-12-05 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12294,50086611,06G,HACCP plan not approved or approved HACCP plan not maintained on premises.,Violations were cited in the following area(s).,44,Cycle Inspection / Initial Inspection,NULL,NULL,2022-01-26 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12295,50050386,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Violations were cited in the following area(s).,89,Cycle Inspection / Initial Inspection,NULL,NULL,2022-07-20 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12296,50074331,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,18,Cycle Inspection / Initial Inspection,NULL,NULL,2019-11-07 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12297,41567826,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2019-08-13 00:00:00.0000000,2019-08-13 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12298,40788085,04A,Food Protection Certificate not held by supervisor of food operations.,Violations were cited in the following area(s).,30,Cycle Inspection / Initial Inspection,NULL,NULL,2022-02-10 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12299,41705740,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,10,Cycle Inspection / Initial Inspection,A,2019-09-12 00:00:00.0000000,2019-09-12 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12300,50041569,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,13,Cycle Inspection / Re-inspection,A,2020-02-12 00:00:00.0000000,2020-02-12 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12301,50091429,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,47,Pre-permit (Operational) / Re-inspection,NULL,NULL,2019-06-17 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12302,50105398,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,12,Pre-permit (Operational) / Initial Inspection,N,NULL,2022-02-24 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12303,50041184,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Violations were cited in the following area(s).,11,Cycle Inspection / Initial Inspection,A,2019-05-07 00:00:00.0000000,2019-05-07 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12304,50001394,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,16,Cycle Inspection / Initial Inspection,NULL,NULL,2019-04-03 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12305,50084724,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,13,Cycle Inspection / Initial Inspection,A,2020-01-08 00:00:00.0000000,2020-01-08 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12306,50015706,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,20,Cycle Inspection / Initial Inspection,NULL,NULL,2019-12-18 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12307,50118778,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,12,Pre-permit (Operational) / Re-inspection,A,2022-04-20 00:00:00.0000000,2022-04-20 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12308,50000616,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2020-03-06 00:00:00.0000000,2020-03-06 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12309,50059007,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,19,Cycle Inspection / Initial Inspection,NULL,NULL,2021-09-09 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12310,50053912,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,36,Cycle Inspection / Initial Inspection,NULL,NULL,2020-03-03 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12311,50008017,20-06,Current letter grade or Grade Pending card not posted,Violations were cited in the following area(s).,NULL,Administrative Miscellaneous / Re-inspection,NULL,NULL,2022-08-08 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12312,41656677,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,10,Cycle Inspection / Initial Inspection,A,2020-01-15 00:00:00.0000000,2020-01-15 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12313,41236382,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Violations were cited in the following area(s).,9,Cycle Inspection / Initial Inspection,A,2019-03-20 00:00:00.0000000,2019-03-20 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12314,50012215,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Violations were cited in the following area(s).,7,Cycle Inspection / Re-inspection,A,2020-01-28 00:00:00.0000000,2020-01-28 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12315,50087052,20-06,Current letter grade or Grade Pending card not posted,Violations were cited in the following area(s).,NULL,Administrative Miscellaneous / Initial Inspection,NULL,NULL,2022-08-03 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12316,50065381,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2022-06-15 00:00:00.0000000,2022-06-15 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12317,41573992,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,11,Cycle Inspection / Re-inspection,A,2018-09-27 00:00:00.0000000,2018-09-27 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12319,50100142,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Violations were cited in the following area(s).,10,Cycle Inspection / Re-inspection,A,2022-08-16 00:00:00.0000000,2022-08-16 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
12320,50107929,04A,Food Protection Certificate not held by supervisor of food operations.,Violations were cited in the following area(s).,12,Pre-permit (Operational) / Initial Inspection,A,2021-12-03 00:00:00.0000000,2021-12-03 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12321,40364296,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,21,Cycle Inspection / Initial Inspection,NULL,NULL,2019-05-13 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12322,50107461,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,108,Cycle Inspection / Initial Inspection,NULL,NULL,2022-06-07 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12323,50094921,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.,Violations were cited in the following area(s).,21,Cycle Inspection / Initial Inspection,NULL,NULL,2022-08-12 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
