column1,camis,dba,boro,building,street,zipcode,phone,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,cuisine_description
226611,40514147,CREATIVE EDGE CATERERS,Manhattan,110,BARROW STREET,10014,2127413000,40.73184585571289,-74.00849914550781,102,03,6900,1010421,1006040033,MN23,American
232564,40515124,RENEE'S KITCHENETTE,Queens,6914,ROOSEVELT AVENUE,11377,7184769002,40.746341705322266,-73.8960952758789,402,26,26300,4030353,4013010031,QN63,Filipino
237073,40515448,FREDDIE & PEPPER'S PIZZA,Manhattan,303,AMSTERDAM AVENUE,10023,2127992378,40.78009796142578,-73.98052978515625,107,06,16100,1030048,1011460002,MN12,Pizza
237832,40515597,ANYWAY CAFE,Manhattan,34,EAST    2 STREET,10003,2125333412,40.72511291503906,-73.99076843261719,103,02,3602,1006553,1004580032,MN22,Russian
160755,40515670,ARTIE'S,Bronx,394,CITY ISLAND AVENUE,10464,7188859885,40.849517822265625,-73.78734588623047,210,13,51600,2082643,2056440172,BX10,Italian
218508,40515675,CROSSTOWN DINER,Bronx,2880,BRUCKNER BOULEVARD,10465,7185973450,40.83263397216797,-73.82868957519531,210,13,16600,2079382,2055310001,BX52,American
245971,40515702,STARBUCKS,Manhattan,78,SPRING STREET,10012,2122192961,40.72259521484375,-73.99785614013672,102,01,4500,1007214,1004820016,MN24,Coffee/Tea
223003,40516509,CAMPUS CENTER CAFETERIA,Staten Island,2800,VICTORY BOULEVARD,10314,7189823026,40.60884475708008,-74.15333557128906,502,50,27301,5000000,5020400001,SI05,American
239833,40516511,FOOD FOR THOUGHT LIBRARY CAFE,Staten Island,2800,VICTORY BOULEVARD,10314,7189823026,40.60884475708008,-74.15333557128906,502,50,27301,5000000,5020400001,SI05,Coffee/Tea
204269,40517120,BLUE BAY DINER,Queens,5850,FRANCIS LEWIS BOULEVARD,11364,7182256333,40.74416732788086,-73.7761459350586,411,20,140902,4438243,4057060006,QN48,American
65285,40520604,STARBUCKS,Queens,7000,AUSTIN STREET,11375,7182684719,40.72088623046875,-73.84680938720703,406,29,71100,4000000,4032340150,QN17,Coffee/Tea
244504,40520857,TIRAMISU RESTAURANT,Manhattan,1410,3 AVENUE,10028,2129889780,40.77510452270508,-73.95670318603516,108,05,14000,1047521,1015090033,MN40,Italian
239728,40521003,TOPAZE RESTAURANT & JERK CHICKEN,Brooklyn,1875,UTICA AVENUE,11234,7184447070,40.6265754699707,-73.92768859863281,318,46,73000,3216419,3077980033,BK58,Caribbean
231618,40521343,MCDONALD'S,Staten Island,803,FOREST AVENUE,10310,7188766088,40.62901306152344,-74.11561584472656,501,49,10500,5095151,5001830001,SI35,Hamburgers
210661,40522190,KINGS CARRIAGE HOUSE,Manhattan,251,EAST   82 STREET,10028,2127345490,40.7757568359375,-73.95472717285156,108,05,13800,1078562,1015280120,MN32,American
223959,40523865,POPEYES,Manhattan,2730,FREDRICK DOUGLAS BOULEVARD,10039,2126949293,40.82292556762695,-73.94183349609375,110,09,23200,1088715,1020310003,MN03,Chicken
227397,40523972,STARBUCKS,Manhattan,24,STATE STREET,10004,2124821180,40.70352554321289,-74.01438903808594,101,01,900,1000021,1000090029,MN25,Coffee/Tea
246742,40524836,STARBUCKS #847,Manhattan,378,6 AVENUE,10011,2124772690,40.73297882080078,-74.00000762939453,102,01,6300,1008933,1005530001,MN23,Coffee/Tea
243131,40524837,JIMMY RYAN'S,Bronx,3005,MIDDLETOWN ROAD,10461,7188635687,40.843936920166016,-73.8301773071289,210,13,26602,2046055,2041680008,BX10,American
226629,40524888,SISTERS CUISINE,Manhattan,1931,MADISON AVENUE,10035,2124103000,40.8050422668457,-73.94084930419922,111,09,19800,1054006,1017490021,MN34,Caribbean
246401,40525206,FULL MOON PIZZA,Bronx,600,EAST  187 STREET,10458,7185843451,40.85548782348633,-73.88746643066406,206,15,39100,2118244,2030730044,BX06,Pizza
225072,40525767,CAPRI II PIZZA,Bronx,149,DREISER LOOP,10475,7186713822,40.87651443481445,-73.82991790771484,210,12,46201,2097469,2051410500,BX13,Pizza
236959,40526104,AMY'S BREAD,Manhattan,75,NINTH AVENUE,10011,2124624338,40.74187088012695,-74.00471496582031,104,03,8300,1012541,1007130001,MN13,Bakery Products/Desserts
247481,40526147,LOS AMIGOS MEXICAN RESTAURANT,Queens,2273,31 STREET,11105,7187268708,40.774600982666016,-73.91254425048828,401,22,11500,4438831,4008330002,QN72,Mexican
139901,40526406,CLUB MACANUDO (CIGAR BAR),Manhattan,26,EAST   63 STREET,10065,2127528200,40.76598358154297,-73.96936798095703,108,04,11401,1040935,1013777502,MN40,American
188755,40528073,GRAND PLAZA,Staten Island,23,NELSON AVENUE,10308,7189674034,40.549373626708984,-74.15068054199219,503,51,13203,5065708,5051430008,SI54,American
195740,40528180,"BOBBY VAN'S , LEA WINE BAR",Manhattan,230,PARK AVENUE,10169,2128675490,40.75450134277344,-73.9759521484375,105,04,9200,1036185,1013000001,MN19,Steakhouse
236408,40528441,SWIFT HIBERNIAN LOUNGE,Manhattan,34,EAST    4 STREET,10003,2122603600,40.72746658325195,-73.99235534667969,102,01,5502,1008515,1005310030,MN23,Irish
246018,40529203,DRAGON CITY,Bronx,2102,BARTOW AVENUE,10475,7186718787,40.86940002441406,-73.82562255859375,210,12,46201,2128425,2051410810,BX13,Chinese
237873,40529979,ROMEO'S PIZZERIA,Queens,18808,UNION TURNPIKE,11366,7184544223,40.729248046875,-73.78096771240234,408,23,127700,4156312,4072660001,QN06,Pizza
221018,40530159,MONA'S,Manhattan,224,AVENUE B,10009,2123533780,40.729061126708984,-73.97830200195312,103,02,3400,1005248,1004070032,MN22,American
247890,40530583,CORNER GOURMET II,Manhattan,66,WEST BROADWAY,10007,2124062200,40.71464157104492,-74.00993347167969,101,01,2100,1001418,1001320001,MN24,American
227628,40530630,NACIONAL BAKERY #1,Bronx,1484,WESTCHESTER AVENUE,10472,7188930168,40.82844161987305,-73.8807601928711,209,17,5002,2023774,2037380038,BX55,Bakery Products/Desserts
159244,40530791,TAP-A-KEG,Manhattan,2731,BROADWAY,10025,2127491734,40.80018997192383,-73.96807861328125,107,06,19100,1056584,1018760012,MN12,American
192294,40532870,STARBUCKS,Manhattan,124,8 AVENUE,10011,2124622020,40.7411994934082,-74.00144958496094,104,03,8100,1076135,1007667502,MN13,Coffee/Tea
191442,40533002,DESSEO NIGHT CLUB,Queens,5215,ROOSEVELT AVENUE,11377,7184585600,40.74424362182617,-73.91223907470703,402,26,25302,4030803,4013150076,QN31,Latin American
225181,40533515,DYCKMAN EXPRESS RESTAURANT,Manhattan,101,DYCKMAN STREET,10040,2125672288,40.86177062988281,-73.92484283447266,112,10,29100,1064719,1022170051,MN01,Spanish
231638,40534870,RAJ MAHAL INDIAN RESTAURANT,Manhattan,322,EAST    6 STREET,10003,2129823632,40.727081298828125,-73.9878158569336,103,02,3800,1006233,1004470017,MN22,Indian
238926,40534912,BROOKLYN MOON,Brooklyn,745,FULTON STREET,11217,7188557149,40.68647384643555,-73.9748306274414,302,35,3500,3255888,3021167501,BK68,Caribbean
149066,40534973,LIMITLESS FITNESS,Queens,15705,CROSSBAY BOULEVARD,11414,7188454653,40.6622200012207,-73.84062194824219,410,32,88400,4294855,4141520060,QN57,"Juice, Smoothies, Fruit Salads"
238133,40535136,DON PACO LOPEZ PANDERIA,Brooklyn,470305,4 AVENUE,NULL,7184927443,0,0,NULL,NULL,NULL,NULL,3,NULL,Spanish
197030,40535297,GIOVANNI 25,Manhattan,25,EAST   83 STREET,10028,2129887300,40.77912902832031,-73.96075439453125,108,04,14200,1046802,1014957501,MN40,Italian
245590,40535336,DYKER PARK BAGELS,Brooklyn,713,86 STREET,11228,7188366336,40.618675231933594,-74.02154541015625,310,43,14000,3153243,3060370062,BK30,Sandwiches
162382,40535383,ADRIA HOTEL,Queens,22117,NORTHERN BOULEVARD,11361,7186315900,40.76172637939453,-73.76007080078125,411,19,147100,4138736,4063270001,QN46,American
237434,40535399,VON,Manhattan,3,BLEECKER STREET,10012,2124733039,40.725303649902344,-73.99247741699219,102,01,5502,1084925,1005290043,MN23,American
247394,40535467,CHIU HONG BAKERY,Manhattan,161,MOTT STREET,10013,2129667664,40.719573974609375,-73.99627685546875,102,01,4100,1006990,1004710049,MN24,Bakery Products/Desserts
246291,40535659,ANTONIO'S PIZZA,Brooklyn,318,FLATBUSH AVENUE,11238,7183982033,40.67703628540039,-73.97236633300781,306,39,16100,3337803,3010570014,BK64,Pizza
223347,40535738,NEIL SIMON THEATRE,Manhattan,250,WEST   52 STREET,10019,2123544624,40.7630615234375,-73.98409271240234,105,03,13100,1024820,1010230054,MN17,American
232834,40536227,JADE ISLAND RESTAURANT,Staten Island,2845,RICHMOND AVENUE,10314,7187618080,40.57654571533203,-74.16975402832031,502,51,27702,5127009,5024600098,SI24,Chinese
228555,40536280,TRINITY PUB,Manhattan,229,EAST   84 STREET,10028,2123274450,40.77717590332031,-73.95415496826172,108,05,14601,1048733,1015300013,MN32,American
219807,40536414,LA CABANA RESTAURANT,Brooklyn,106264,FLATBUSH AVENUE,NULL,7182870248,0,0,NULL,NULL,NULL,NULL,3,NULL,Spanish
166672,40536534,CASSIDY'S ALE HOUSE,Queens,7502,31 AVENUE,11370,7184246549,40.75855255126953,-73.89237213134766,403,25,30903,4025569,4011460001,QN28,American
242601,40536591,PORTOBELLO CAFE,Staten Island,4221,HYLAND BLVD.,NULL,7183562233,0,0,NULL,NULL,NULL,NULL,5,NULL,Italian
243709,40536616,RIAZOR BLUE TAPAS BAR,Queens,8905,NORTHERN BOULEVARD,11372,7184248464,40.75625991821289,-73.87869262695312,403,25,33900,4546363,4014190031,QN28,Spanish
223386,40536785,CONNECTICUT MUFFIN,Brooklyn,171,7 AVENUE,11215,7187682022,40.67179489135742,-73.97747802734375,306,39,15700,3025114,3010740078,BK37,Coffee/Tea
220104,40537290,NORA'S PARK BENCH CAFE,Brooklyn,3019,QUENTIN ROAD,11234,7183760033,40.61193084716797,-73.94099426269531,318,46,64400,3212091,3077030006,BK45,American
230093,40537494,810 DELI & CAFE,Manhattan,810,7 AVENUE,10019,2125414136,40.762630462646484,-73.98214721679688,105,04,13100,1024828,1010240038,MN17,American
239312,40537686,BULL MCCABES,Manhattan,29,ST MARKS PLACE,10003,2129829895,40.72888946533203,-73.98834991455078,103,02,3800,1006751,1004640045,MN22,Irish
239374,40537963,NEW RUAN'S RESTAURANT,Brooklyn,1955,86 STREET,11214,7182668888,40.605140686035156,-73.99913024902344,311,47,28400,3165813,3063450047,BK28,Chinese
241158,40538061,COSMOS RESTAURANT,Bronx,726,EAST TREMONT AVENUE,10457,7182991925,40.84498977661133,-73.89030456542969,206,17,36901,2009978,2029500061,BX17,Spanish
235186,40538189,EDWARD'S,Manhattan,136,WEST BROADWAY,10013,2122336436,40.71680450439453,-74.00821685791016,101,01,3300,1001568,1001440029,MN24,American
196320,40538234,"DUNKIN', BASKIN ROBBINS",Queens,99-25,HORACE HARDING EXPRESSWAY,11368,7182719222,40.736183166503906,-73.8580551147461,404,21,43702,4047915,4019480019,QN25,Donuts
231993,40538563,FOUR SEASONS HOTEL,Manhattan,57,EAST   57 STREET,10022,2128936819,40.76205062866211,-73.97179412841797,105,04,11202,1077862,1012937501,MN17,American
246410,40538662,MCDONALD'S,Manhattan,4040,BROADWAY,10032,2129239582,40.84254837036133,-73.9392318725586,112,10,25300,1063459,1021410001,MN36,Hamburgers
186637,40538766,RED EYE GRILL,Manhattan,888,7 AVENUE,10106,2125419000,40.76500701904297,-73.98041534423828,105,04,13700,1024895,1010280029,MN17,American
245800,40539007,MUSTANG HARRY'S,Manhattan,352,SEVENTH AVENUE,10001,2122688930,40.748199462890625,-73.99266052246094,105,03,9500,1014291,1007790041,MN17,American
222295,40539661,BAKE AND THINGS RESTAURANT,Brooklyn,184,EAST   35 STREET,11203,7188261807,40.650634765625,-73.94474029541016,317,45,85600,3109425,3048880011,BK91,Caribbean
238271,40539772,BOWLER LAND,Bronx,2417,HOLLERS AVENUE,10475,7189948700,40.8858757019043,-73.82280731201172,212,12,46202,2072578,2052870001,BX13,American
236014,40541030,BASTA PASTA RESTAURANT,Manhattan,37,WEST   17 STREET,10011,2123660888,40.738468170166016,-73.9935302734375,105,03,5400,1080634,1008190017,MN13,Italian
243556,40542345,TOWNE DELI & PIZZA,Staten Island,5373,ARTHUR KILL ROAD,10307,7182271985,40.513370513916016,-74.24800872802734,503,51,24800,5088593,5079990024,SI11,Pizza
236294,40542427,"SAKAGURA, KIOSK",Manhattan,211,EAST   43 STREET,10017,2129537253,40.7512321472168,-73.97345733642578,106,04,8800,1037556,1013170007,MN19,Japanese
185523,40542546,CUCCIOS BAKERY,Brooklyn,320,AVENUE X,11223,7183361944,40.590415954589844,-73.9712905883789,315,47,37402,3195080,3071940010,BK26,Bakery Products/Desserts
139799,40543355,FOREST HILLS SPA,Queens,5921,CALLOWAY STREET,11368,7186991919,40.73757553100586,-73.85682678222656,404,21,43702,4047929,4019490090,QN25,American
240184,40544107,PONGAL INDIAN CUISINE,Manhattan,110,LEXINGTON AVENUE,10016,2126969458,40.74235534667969,-73.98267364501953,105,02,6800,1018195,1008830071,MN21,Indian
186630,40544267,UNITED CYPRIANS OF AMERICA,Queens,2816,ASTORIA BOULEVARD,11102,9172997903,40.77070617675781,-73.92052459716797,401,22,6900,4007747,4005960143,QN71,Mediterranean
240833,40544528,LE GIGOT,Manhattan,18,CORNELIA STREET,10014,2126273737,40.731510162353516,-74.00186157226562,102,03,6700,1077813,1005890017,MN23,French
246591,40544529,CORATO PIZZA II,Queens,60-91,MYRTLE AVENUE,11385,7183810915,40.70075988769531,-73.89502716064453,405,30,58300,4085340,4035380038,QN20,Pizza
246488,40544576,YONAH SHIMMELS KNISHES,Manhattan,137,EAST HOUSTON STREET,10002,2124772858,40.72334671020508,-73.99005889892578,103,01,3601,1005617,1004220048,MN27,Eastern European
217460,40544705,MONDIAL BAKERY,Brooklyn,7802,20 AVENUE,11214,7183310033,40.60902786254883,-73.99365997314453,311,47,27400,3162262,3062620039,BK28,Bakery Products/Desserts
234994,40544813,BENNY'S FAMOUS PIZZA,Brooklyn,4514,13 AVENUE,11219,7184382369,40.637123107910156,-73.98994445800781,312,44,22200,3136704,3056160040,BK88,Pizza
153699,40544823,MURRAY'S BAGELS,Manhattan,500,AVENUE OF THE AMERICAS,10011,2124622830,40.7364387512207,-73.99748992919922,102,03,6300,1066991,1005760008,MN23,Bagels/Pretzels
114953,40544948,ALBA'S PIZZA,Queens,3620,DITMARS BOULEVARD,11105,7189325924,40.77419662475586,-73.90798950195312,401,22,11700,4016369,4008210036,QN72,Pizza
175051,40544958,CALIENTE CAB CO,Manhattan,61,7 AVENUE SOUTH,10014,2122438517,40.731624603271484,-74.0039291381836,102,03,6700,1009947,1005870021,MN23,Mexican
241118,40545130,SPEEDY'S DELI,Manhattan,1271,BROADWAY,10001,2126838997,40.748287200927734,-73.98846435546875,105,03,7600,1015834,1008330078,MN17,American
238028,40545227,ARIYOSHI JAPANESE RESTAURANT,Queens,4113,QUEENS BOULEVARD,11104,7189373288,40.743675231933594,-73.9231185913086,402,26,18102,4002451,4001880005,QN31,Japanese
227042,40545329,BEN'S DELI,Manhattan,209,WEST   38 STREET,10018,2123982367,40.753761291503906,-73.98937225341797,105,03,11300,1014480,1007880037,MN17,Jewish/Kosher
225723,40545375,POST BILLIARDS CAFE,Manhattan,154,POST AVENUE,10034,2125691840,40.86491394042969,-73.91905975341797,112,10,29300,1064789,1022230022,MN01,Latin American
246408,40545454,HELLO DELI,Manhattan,213,WEST   53 STREET,10019,2124897832,40.76345443725586,-73.98302459716797,105,03,13100,1024838,1010250043,MN17,Sandwiches
226680,40545543,PROHIBITION,Manhattan,503,COLUMBUS AVENUE,10024,2125793100,40.78535461425781,-73.97298431396484,107,06,16900,1085066,1011980001,MN12,American
186745,40545555,PC'S BAR AND GRILL,Brooklyn,7215,5 AVENUE,11209,7184912845,40.63150405883789,-74.02179718017578,310,43,13000,3147454,3059100004,BK31,American
239128,40545573,THE NEPTUNE DINER,Queens,3105,ASTORIA BOULEVARD,11102,7182784853,40.770606994628906,-73.91700744628906,401,22,12500,4017318,4008370009,QN72,American
210141,40545741,BERK'S BAR,Manhattan,21,EAST   52 STREET,10022,2127545031,40.75942611694336,-73.97541809082031,105,04,10200,1081151,1012880011,MN17,American
223829,40545786,PASTA PASTA RESTAURANT,Bronx,2023,WILLIAMSBRIDGE ROAD,10461,7188929634,40.85456848144531,-73.85470581054688,211,13,24800,2088081,2043060014,BX49,Italian
234957,40546082,DON PEPI PIZZA,Manhattan,000,PENN STATION,10121,2129674385,40.75006103515625,-73.99210357666016,105,03,10100,1083026,1007810002,MN17,Pizza
167561,40546098,CHURRASCARIA PLATAFORMA,Manhattan,316,WEST   49 STREET,10019,2122450505,40.76203536987305,-73.98748779296875,104,03,12700,1025137,1010390017,MN15,Brazilian
185510,40546234,KURUMAZUSHI RESTAURANT,Manhattan,7,EAST   47 STREET,10017,2123172802,40.75643539428711,-73.97804260253906,105,04,9400,1035412,1012830008,MN17,Japanese
229775,40546306,REBAR,Manhattan,223,WEST   19 STREET,10011,6468632914,40.74214172363281,-73.99861145019531,104,03,8700,1013976,1007697504,MN13,American
246391,40546350,SWEET CHEF SOUTHERN STYLES BAKERY,Manhattan,122,HAMILTON PLACE,10031,2128625909,40.823890686035156,-73.9492416381836,109,07,22900,1061862,1020740040,MN04,Bakery Products/Desserts
196916,40546650,GIAN PIERO BAKERY,Queens,4417,30 AVENUE,11103,7182748959,40.76228713989258,-73.91157531738281,401,22,14700,4012138,4007000042,QN70,Bakery Products/Desserts
242446,40547085,OMONIA CAFE,Brooklyn,7612,3 AVENUE,11209,7184911435,40.630577087402344,-74.02816009521484,310,43,6400,3149164,3059490045,BK31,Mediterranean
217592,40547434,THE BURRITO BAR RESTAURANT,Staten Island,585,FOREST AVENUE,10310,7188159200,40.630130767822266,-74.10879516601562,501,49,10500,5004356,5001560048,SI35,Mexican
245787,40547548,PARADISE CATERERS,Brooklyn,51,AVENUE U,11223,7183724352,40.595947265625,-73.98258972167969,311,47,40200,3190837,3070940042,BK29,American
236448,40547874,ALIBI CLUB,Brooklyn,242,DEKALB AVENUE,11205,7742705143,40.68946838378906,-73.96949768066406,302,35,19700,3059138,3021050031,BK69,American
246226,40547933,ROMA VIEW CATERING,Queens,16005,CROSS BAY BOULEVARD,11414,7186413100,40.657196044921875,-73.8393783569336,410,32,89200,4295535,4141830112,QN57,American
244875,40548426,SPOLINI'S,Queens,11625,METROPOLITAN AVENUE,11418,7188055852,40.70729064941406,-73.83545684814453,409,29,77500,4079441,4033240054,QN60,Italian
242379,40548730,RAY'S PIZZA RESTUARANT,Bronx,553,EAST  138 STREET,10454,7182927855,40.80696487426758,-73.91783905029297,201,08,3900,2098702,2022660025,BX39,Pizza
125214,40548768,MCDONALD'S,Manhattan,4259,BROADWAY,10033,9175210827,40.850074768066406,-73.93585968017578,112,10,26500,1064280,1021760133,MN36,Hamburgers
207777,40549443,JJ GARDEN RESTAURANT,Queens,7521,31 AVENUE,11370,7188986686,40.75857925415039,-73.89225769042969,403,22,30903,4439602,4011240001,QN28,Chinese
175682,40549610,STARBUCKS #7277,Manhattan,304,PARK AVENUE SOUTH,10010,2124759025,40.73999786376953,-73.98650360107422,105,02,5600,1016287,1008510041,MN13,Coffee/Tea
190077,40549885,MONTEZUMA RESTAURANT,Bronx,119,WEST KINGSBRIDGE ROAD,10468,7186016400,40.868621826171875,-73.90216827392578,208,14,26701,2015261,2032480057,BX28,Mexican
231532,40549913,MCDONALD'S,Bronx,2170,WHITE PLAINS ROAD,10462,7189315822,40.85558319091797,-73.86764526367188,211,13,22403,2049394,2043180012,BX49,Hamburgers
120024,40550150,AKIYAMA JAPANESE RESTAURANT,Queens,13216,14 AVENUE,11356,7187470529,40.786251068115234,-73.83586883544922,407,19,94500,4098565,4041000001,QN49,Japanese
233427,40550155,PARISI BAKERY,Manhattan,198,MOTT STREET,10012,2122266378,40.72124481201172,-73.99559783935547,102,01,4100,1007159,1004790009,MN24,Sandwiches
200329,40550548,GOODY'S BBQ,Queens,7018,AMSTEL BOULEVARD,11692,7183189616,40.592620849609375,-73.7997817993164,414,31,95400,4303166,4160530056,QN12,Caribbean
247103,40550765,ARETSKY'S PATROON,Manhattan,158160,EAST   46 STREET,NULL,2128837373,0,0,NULL,NULL,NULL,NULL,1,NULL,American
170403,40551093,GINO'S PIZZA,Brooklyn,218,FLATBUSH AVENUE,11217,7182303932,40.681087493896484,-73.9753189086914,306,39,12902,3018496,3009310027,BK37,Pizza
204999,40551234,THE GIN MILL,Manhattan,442,AMSTERDAM AVENUE,10024,2125809080,40.7846565246582,-73.97723388671875,107,06,16700,1032682,1012297503,MN12,American
247635,40551765,MIKES PIZZA,Queens,7175,YELLOWSTONE BOULEVARD,11375,7187933464,40.72071838378906,-73.85533905029297,406,29,70900,4439983,4031890006,QN17,Pizza
66014,40551807,"DUNKIN', BASKIN ROBBINS",Queens,3602,31 STREET,11106,7183831000,40.75631332397461,-73.92997741699219,401,26,5100,4007868,4005990033,QN68,Donuts
244149,40551900,KILLMEYER'S OLD BAVARIA INN.,Staten Island,4256,ARTHUR KILL ROAD,10309,7189841202,40.53857421875,-74.23741149902344,503,51,22600,5107823,5073140001,SI11,German
230398,40552366,GIGI'S PIZZERIA,Queens,20-09,FRANCIS LEWIS BOULEVARD,11357,7183529200,40.78000259399414,-73.8023910522461,407,19,101700,4128809,4057450002,QN47,Pizza
236649,40553257,ACAPULCO DELI & RESTAURANT,Brooklyn,1116,MANHATTAN AVENUE,11222,7183498429,40.73667907714844,-73.95531463623047,301,33,57900,3321352,3024830001,BK76,Mexican
239108,40553443,DISTILLED,Manhattan,211,WEST BROADWAY,10013,2124310700,40.71893310546875,-74.00652313232422,101,01,3300,1079278,1001787502,MN24,American
225847,40553581,BOSTON MARKET,Bronx,337185,EAST TREMONT AVENUE,NULL,7188240440,0,0,NULL,NULL,NULL,NULL,2,NULL,Chicken
169360,40553657,LENNY'S PIZZA,Brooklyn,594,5 AVENUE,11215,7187888928,40.664363861083984,-73.99037170410156,307,39,14100,3024140,3010520054,BK37,Pizza
210750,40554018,LA BELLA ROSA BAKERY,Bronx,605,EAST TREMONT AVENUE,10457,7182992224,40.846343994140625,-73.8931655883789,206,17,37300,2011975,2030680052,BX17,Bakery Products/Desserts
57963,40554183,BARROW'S PUB,Manhattan,463,HUDSON STREET,10014,2127419349,40.73149871826172,-74.00666046142578,102,03,6900,1078101,1006030062,MN23,Irish
133826,40554349,LA FAMILIA RESTAURANT,Brooklyn,938,4 AVENUE,11232,7188327568,40.654720306396484,-74.00399780273438,307,38,8400,3010261,3006920038,BK32,Latin American
182991,40554360,BIRDLAND,Manhattan,315,WEST   44 STREET,10036,2125813080,40.75883483886719,-73.98954772949219,104,03,12100,1080877,1010350017,MN15,American
237779,40554369,CATCH 22,Brooklyn,7221,3 AVENUE,11209,7189215869,40.63330841064453,-74.02702331542969,310,43,6600,3147325,3059080001,BK31,American
245004,40554463,EL GAUCHITO RESTAURANT,Queens,9460,CORONA AVENUE,11373,7182718198,40.742286682128906,-73.86947631835938,404,25,46100,4046363,4018770025,QN29,Latin American
235737,40556572,ORIENTAL STAR RESTAURANT,Queens,11217,FARMERS BOULEVARD,11412,7182176842,40.700347900390625,-73.76385498046875,412,27,52400,4235051,4109680106,QN08,Chinese
230499,40557466,KENNEDY FRIED CHICKEN,Bronx,696,ALLERTON AVENUE,10467,3475207275,40.86540985107422,-73.86756896972656,211,15,33202,2051304,2044290035,BX07,Chicken
224069,40557901,LA ISLA CUCHIFRITOS,Bronx,15221524,WESTCHESTER AVENUE,NULL,7188937591,0,0,NULL,NULL,NULL,NULL,2,NULL,Latin American
236642,40557912,KISMAT INDIAN CUISINE,Manhattan,603,FORT WASHINGTON AVENUE,10040,2127958633,40.8552360534668,-73.93685150146484,112,10,27300,1084212,1021797501,MN35,Indian
186656,40558850,DECHERT (THE DECH),Manhattan,1095,AVENUE OF THE AMERICAS,10036,2126983880,40.75468063354492,-73.98423767089844,105,04,11300,1087119,1009947501,MN17,American
216863,40559439,MANSIONS CATER,Manhattan,80,5 AVENUE,10011,2127224422,40.735801696777344,-73.9937744140625,102,03,6300,1009717,1005770039,MN23,American
246795,40559606,THAI SON VIETNAMESE CUISINE,Manhattan,89,BAXTER STREET,10013,2127322822,40.716896057128906,-73.99969482421875,103,01,2900,1002370,1001990006,MN27,Southeast Asian
227701,40559634,TICK TOCK DINER,Manhattan,481,8 AVENUE,10001,2122688444,40.752288818359375,-73.99340057373047,104,03,11100,1013561,1007580037,MN13,American
234547,40559636,TRATTORIA BIANCA,Manhattan,481,8 AVENUE,10001,2122688460,40.752288818359375,-73.99340057373047,104,03,11100,1013561,1007580037,MN13,Italian
195868,40559892,QUALITY MEATS,Manhattan,57,WEST   58 STREET,10019,2123717777,40.7645149230957,-73.97552490234375,105,04,11201,1035250,1012747502,MN17,Steakhouse
227401,40560112,EL MALECON RESTAURANT,Manhattan,764,AMSTERDAM AVENUE,10025,2128645648,40.79506301879883,-73.96964263916016,107,07,18300,1056377,1018690029,MN12,Latin American
220458,40560302,SERAFINA FABULOUS PIZZA,Manhattan,1022,MADISON AVENUE,10075,2127342676,40.775997161865234,-73.96236419677734,108,04,14200,1041884,1013930056,MN40,Italian
235508,40560440,STARBUCKS,Manhattan,684,6 AVENUE,10010,2126911948,40.74191665649414,-73.9935073852539,105,03,5800,1015557,1008230083,MN13,Coffee/Tea
238368,40560823,LENA RESTAURANT,Bronx,206,EAST  198 STREET,10458,7182955330,40.86988830566406,-73.89054870605469,207,15,40302,2017146,2033040126,BX05,Latin American
242094,40560927,IGGY'S,Manhattan,1452,2 AVENUE,10021,2123273043,40.771217346191406,-73.95658111572266,108,05,13400,1045157,1014500050,MN31,American
196965,40560931,ETHEL BARRYMORE THEATER,Manhattan,243,WEST   47 STREET,10036,2125867610,40.759830474853516,-73.98609924316406,105,03,12500,1024755,1010190012,MN17,American
190173,40560933,TOWN HALL THEATRE,Manhattan,123,WEST   43 STREET,10036,2125867610,40.755836486816406,-73.98438262939453,105,04,11900,1022615,1009960021,MN17,American
204118,40560935,MUSIC BOX THEATER,Manhattan,239,WEST   45 STREET,10036,2127687220,40.75865173339844,-73.98714447021484,105,03,11900,1024726,1010170011,MN17,American
180222,40560941,LYCEUM THEATRE,Manhattan,149,WEST   45 STREET,10036,2125867610,40.757362365722656,-73.98409271240234,105,04,11900,1022633,1009980008,MN17,American
205410,40560945,AMBASSADOR THEATRE,Manhattan,219,WEST   49 STREET,10019,2125867610,40.76100540161133,-73.98500061035156,105,03,12500,1024792,1010210015,MN17,American
222021,40560949,CORT THEATRE,Manhattan,138,WEST   48 STREET,10105,2125867610,40.75913619995117,-73.98253631591797,105,04,12500,1022679,1010000049,MN17,American
243012,40560953,GOLDEN THEATRE,Manhattan,252,WEST   45 STREET,10036,2125752914,40.758758544921875,-73.98744201660156,105,03,11900,1024717,1010160058,MN17,American
201919,40561234,DOUGLASTON GOLF SNACKS,Queens,6320,MARATHON PARKWAY,11362,7182246566,40.75457000732422,-73.72846984863281,411,23,152901,4172698,4083100125,QN45,American
195727,40561340,SUGAR BAR,Manhattan,254,WEST   72 STREET,10023,2125790222,40.77932357788086,-73.98336029052734,107,06,15900,1030434,1011630057,MN14,American
166236,40562839,JEAN-GEORGES,Manhattan,1,CENTRAL PARK WEST,10023,2122993900,40.76852035522461,-73.9815902709961,107,03,14500,1027191,1011137502,MN14,French
238986,40563041,RAY'S CANDY STORE,Manhattan,113,AVENUE A,10009,9173407855,40.7261962890625,-73.98343658447266,103,02,3200,1005843,1004350036,MN22,American
